"","pmRA","pmDEC","i_K","Y","J","H","K","ps","pb","RA","Dec","err_RA","err_Dec"
"V424",17.8412475585938,-38.7820587158203,3.59010219573975,14.8945322036743,14.2829065322876,13.7436866760254,13.3467302322388,0.998801395028031,0.00135069587189174,55.6094620422006,23.8607698198627,2.1291207e-07,2.12906e-07
"V573",15.5992670059204,-38.5090446472168,3.80823135375977,15.6363973617554,14.9626026153564,14.4156789779663,14.0549354553223,0.998797471431358,1.58628028179564e-06,57.231895033445,24.3611311025917,2.8317382e-07,2.8316333e-07
"V353",19.7860412597656,-43.0806884765625,3.6784725189209,14.622145652771,14.0297784805298,13.4935054779053,13.1222286224365,0.998787481462938,0.209244938673626,59.6291231847243,23.0701687442528,7.676492e-07,7.6734426e-07
"V2554",16.1007537841797,-37.7689971923828,1.89000034332275,NA,10.7360000610352,10.1999998092651,10.0649995803833,0.998782245121321,2.80658883478058e-06,55.6150020324577,25.0469662056723,2.755736e-07,2.755736e-07
"V847",15.8540649414062,-43.7052612304688,4.09827709197998,16.0413990020752,15.3288421630859,14.7921276092529,14.3884630203247,0.998781650076337,1.59315993397691e-07,58.3510125870933,25.2437625425336,6.854404e-07,6.852914e-07
"V762",16.1423587799072,-39.8388061523438,3.31201076507568,14.4659109115601,13.8728866577148,13.3166589736938,13.0422277450562,0.998781519073617,0.000716596496899036,56.8839149228716,24.4050685611954,5.002873e-07,5.002873e-07
"V884",17.6728897094727,-42.7210998535156,3.18976139068603,13.5527219772339,13.0152282714844,12.4079999923706,12.138809928894,0.998774171430593,0.0680248482201838,55.2928024018214,25.765561285858,3.9378784e-07,3.9375868e-07
"V578",16.0263767242432,-36.5449485778809,3.40968822479248,14.157862663269,13.5750217437744,13.0286617279053,12.7026126480103,0.998768152026309,0.0445226120418063,57.3801213085384,23.6887485208928,2.8421695e-07,2.8421695e-07
"V824",16.1373252868652,-38.915828704834,5.69245147705078,17.4066066741943,16.3998241424561,15.7182083129883,15.1680355072021,0.998766957328807,0.985447216777926,57.9122993970493,24.5124372429056,4.6691576e-07,4.6691463e-07
"V367",16.6782741546631,-41.2395973205566,3.34185981750488,14.5468893051147,13.9400682449341,13.4240741729736,13.1059799194336,0.99875195752306,0.000588012339285515,54.642511109278,23.7186826376234,2.314747e-07,2.3146877e-07
"V517",16.5648040771484,-37.6265449523926,3.39035247802734,14.2925510406494,13.6767807006836,13.1430320739746,12.7688672637939,0.998744212272558,0.00468343539468896,56.8833480021508,24.173513851473,2.3661569e-07,2.3661569e-07
"V511",16.6842918395996,-41.8893127441406,3.32201599121094,13.7861051559448,13.2230844497681,12.701000213623,12.3174951171875,0.998744043054407,0.0792329137735445,56.8445270361406,23.7352071508819,1.8588622e-07,1.8588315e-07
"V2505",13.7481641769409,-40.8229675292969,1.57199954986572,NA,10.0290002822876,9.63399982452393,9.55000019073486,0.998742672587049,3.21992148055728e-07,57.4023207280663,24.2959690972351,4.3586428e-07,4.3582475e-07
"V119",15.2993793487549,-39.8383407592773,5.52165412902832,17.5216007232666,16.5841884613037,15.9829263687134,15.4140377044678,0.998740658697355,0.00017521710311641,58.8757869679659,21.0194931371832,9.805105e-07,9.804585e-07
"V460",14.7820711135864,-38.1345291137695,3.39996742248535,13.5441379547119,12.952467880249,12.418999671936,12.0342605209351,0.998732919893624,0.468304447767991,56.747148145396,24.028558086772,1.5564831e-07,1.556465e-07
"V2026",16.355396270752,-38.4099578857422,NA,13.3966083526611,12.8544358825684,12.2770004272461,12.0030002593994,0.998732873155393,0.0979983786088573,55.2624578291905,23.7226504797464,1.5501591e-07,1.5501548e-07
"V662",15.2059154510498,-39.3003692626953,4.48293209075928,16.2474765777588,15.4587087631226,14.9201250076294,14.4448022842407,0.998732721339721,0.000620894450145681,53.6608821803606,24.8578863492836,4.3400388e-07,4.3397856e-07
"V648",17.760461807251,-42.3724021911621,3.28173469543457,14.0384435653687,13.4694204330444,12.8821510696411,12.6039607620239,0.998728951924233,0.0149374185562523,59.1204291898449,24.0317287286891,1.9742875e-07,1.9741836e-07
"V2029",14.7173662185669,-41.1877899169922,2.61170768737793,NA,11.4479999542236,10.7810001373291,10.5950002670288,0.998722291411664,0.0259339446784344,57.8492510067452,22.841419921693,1.9756814e-07,1.9756207e-07
"V2170",5.35007572174072,-32.5762062072754,1.3169994354248,NA,9.26700019836426,8.98099994659424,8.8730001449585,0.998720161319962,0.000216101345212882,58.0033988711547,19.5967659780489,9.72042e-07,9.716036e-07
"V810",18.1331672668457,-41.2209167480469,3.54120540618896,14.9569063186646,14.3523015975952,13.820821762085,13.4704618453979,0.998714288648063,0.000488501851359735,57.3385283638441,24.6947249277204,1.541301e-07,1.5412836e-07
"V934",14.6458692550659,-39.0558662414551,3.24094127655029,13.7646970748901,13.157998085022,12.5585789108276,12.275793800354,0.998712877778028,0.0307052875855509,56.4299053122947,26.0406779737954,4.1258184e-07,4.1258184e-07
"V265",16.5975151062012,-41.5516090393066,3.28927349090576,13.7166328430176,13.136794090271,12.6330003738403,12.2595565414429,0.998712601135011,0.0806652464217961,56.2950369812491,23.0494705709217,2.7739074e-07,2.773694e-07
"V135",17.5397968292236,-42.337703704834,3.47779083251953,14.7762365341187,14.1507415771484,13.6251888275146,13.2796096801758,0.998711419409972,0.00097338544109693,55.5441934177805,22.301521004158,2.6587364e-07,2.6587364e-07
"V240",14.8689346313477,-41.846492767334,6.20854377746582,18.8390045166016,17.6655120849609,16.8954544067383,16.1335983276367,0.998708809650207,0.00238810030663161,56.021899020428,22.8370817605501,9.318258e-07,9.318258e-07
"V986",15.613881111145,-40.5655746459961,3.87759876251221,15.7513456344604,15.0957317352295,14.5662813186646,14.1462030410767,0.99869795898001,1.38684188022431e-07,57.0811666442598,26.6498315806599,4.928663e-07,4.928101e-07
"V895",13.7274713516235,-37.8382797241211,3.46852993011474,13.9129667282104,13.3025121688843,12.7429251098633,12.4083688354492,0.998697340911613,0.393295316276945,55.5142514545142,25.3774914998859,4.5001732e-07,4.5001732e-07
"V787",14.4484510421753,-38.4226455688477,3.303401222229,12.8233652877808,12.2113628005981,11.5839996337891,11.2975785827637,0.998693151725851,0.845981338997753,56.4030395958127,24.6517736455565,2.2589334e-07,2.2588785e-07
"V2374",16.7879486083984,-41.3178558349609,NA,13.0683909225464,12.4755277252197,11.8990001678467,11.5991427993774,0.998691638294566,0.22128105655756,57.2428591672399,23.0941998836223,2.0603783e-07,2.0603365e-07
