"","pmRA","pmDEC","i_K","Y","J","H","K","ps","pb","RA","Dec","err_RA","err_Dec"
"V69755",-12.7520666122437,-44.0940933227539,NA,15.449987411499,14.8969306945801,14.4015035629272,14.0516347885132,0.113330351367435,0.00270871812554985,52.2514386453108,21.6378045997712,4.6916716e-07,4.6910912e-07
"V14990",7.75767707824707,-12.0964708328247,NA,14.4418792724609,13.8431625366211,13.2688837051392,12.9682614898682,0.113182909892689,1.85608228786549e-08,61.2037941802684,25.5555640106741,8.8325584e-07,8.82927e-07
"V10671",21.1045780181885,-15.2637014389038,NA,15.6867828369141,15.0128412246704,14.4137840270996,14.076470375061,0.113105038484247,7.63290886052204e-08,59.9513829201228,26.8563264696098,8.3478363e-07,8.345063e-07
"V8009",27.2325401306152,-41.11865234375,NA,15.5777835845947,15.0468120574951,14.5700302124023,14.2770156860352,0.113054856425735,9.08122567598868e-05,56.0080197639029,27.3063144244132,9.295245e-07,9.291412e-07
"V1315",-5.82991552352905,-32.0465812683105,3.62589740753174,15.630202293396,15.0032014846802,14.457329750061,14.1276941299438,0.11301069209571,1.00443120487625e-09,55.7599238937795,25.5062177754317,2.3338269e-07,2.3337668e-07
"V5002",5.31168794631958,-40.0217247009277,NA,15.7440643310547,15.2039766311646,14.6016473770142,14.3104085922241,0.112922717355028,0.000284470142908888,54.5509278549263,19.3529368259287,1.8054793e-07,1.8054793e-07
"V13521",1.32268679141998,-13.4583034515381,NA,13.3797130584717,12.8651656723022,12.253999710083,11.9884498214722,0.112869199127504,1.78264901684599e-06,57.1168825375233,28.8147318391373,8.34722e-07,8.34722e-07
"V6110",40.7565803527832,-47.311882019043,NA,NA,16.7590007781982,16.6889991760254,NA,0.112762070638359,0.031351744275755,52.5530879189144,20.6273813989093,3.8006647e-06,3.80055e-06
"V4646",10.6852474212646,-11.7742128372192,NA,14.41921043396,13.8231410980225,13.1217355728149,12.8287427520752,0.112691310527848,0.00795911663709026,61.6130269735782,24.4165829294006,1.030894e-06,1.030894e-06
"V5298",18.3724746704102,-19.7235298156738,NA,14.7543067932129,14.2662887573242,13.6950283050537,13.4002256393433,0.112573227834039,3.45341919338882e-06,56.7733670450079,27.305335461034,9.741794e-07,9.741794e-07
"V16072",5.9182767868042,-15.1521253585815,NA,14.3764486312866,13.7859725952148,13.1104316711426,12.812493095398,0.112499894022537,1.94786392904156e-07,62.17217495614,24.8154202205764,1.0913773e-06,1.0913773e-06
"V6625",29.586763381958,-24.4314975738525,NA,15.9919137954712,15.3593740463257,14.6807050704956,14.3646020889282,0.112292217977094,6.24934833531876e-05,52.4250695182729,23.6589523809598,1.0630182e-06,1.062646e-06
"V26214",12.1865615844727,-7.45941162109375,NA,NA,11.2370004653931,10.5799999237061,10.4549999237061,0.11225397693863,6.49375664352192e-10,51.4672474617494,25.9874620485122,8.7520357e-07,8.7520357e-07
"V4027",9.65199661254883,-33.4958190917969,NA,15.9863586425781,15.4118204116821,14.7656364440918,14.5025358200073,0.112198600249053,8.70327836905993e-05,58.1375212148177,19.7565389348907,8.731826e-07,8.731826e-07
"V3762",17.5893726348877,-22.9802379608154,NA,15.2852792739868,14.7058773040771,14.0768690109253,13.7849817276001,0.112160057674465,0.001109287706763,55.9322340668944,29.6781214892296,7.962699e-07,7.9611704e-07
